1417392000.00 -4945.08 -356.73 -532.72 4986.47	1417392000 -4.94508E+03, -3.56727E+02, -5.32717E+02,  1.59736E+03
1417392060.00 -4873.77 -430.86 -363.46 4906.26	1417392060 -4.87377E+03, -4.30859E+02, -3.63458E+02,  1.51716E+03
1417392120.00 -4796.10 -504.43 -193.74 4826.44	1417392120 -4.79610E+03, -5.04429E+02, -1.93733E+02,  1.43734E+03
1417392180.00 -4711.84 -577.31 -23.75 4747.13	1417392180 -4.71183E+03, -5.77306E+02, -2.37507E+01,  1.35803E+03
1417392240.00 -4620.78 -649.35 146.25 4668.47	1417392240 -4.62078E+03, -6.49352E+02,  1.46255E+02,  1.27937E+03
1417392300.00 -4522.71 -720.41 316.02 4590.62	1417392300 -4.52271E+03, -7.20413E+02,  3.16027E+02,  1.20152E+03
1417392360.00 -4417.44 -790.33 485.28 4513.74	1417392360 -4.41743E+03, -7.90326E+02,  4.85282E+02,  1.12464E+03
1417392420.00 -4304.75 -858.91 653.70 4438.01	1417392420 -4.30475E+03, -8.58914E+02,  6.53707E+02,  1.04891E+03
1417392480.00 -4184.47 -925.99 820.96 4363.63	1417392480 -4.18447E+03, -9.25988E+02,  8.20963E+02,  9.74525E+02
1417392540.00 -4056.43 -991.34 986.67 4290.80	1417392540 -4.05643E+03, -9.91344E+02,  9.86676E+02,  9.01695E+02
1417392600.00 -3920.48 -1054.77 1150.44 4219.74	1417392600 -3.92048E+03, -1.05477E+03,  1.15044E+03,  8.30642E+02
1417392660.00 -3776.50 -1116.03 1311.83 4150.71	1417392660 -3.77650E+03, -1.11603E+03,  1.31183E+03,  7.61604E+02
1417392720.00 -3624.38 -1174.89 1470.37 4083.93	1417392720 -3.62438E+03, -1.17489E+03,  1.47037E+03,  6.94833E+02
1417392780.00 -3464.09 -1231.10 1625.56 4019.70	1417392780 -3.46408E+03, -1.23110E+03,  1.62556E+03,  6.30594E+02
1417392840.00 -3295.59 -1284.39 1776.87 3958.27	1417392840 -3.29559E+03, -1.28439E+03,  1.77688E+03,  5.69164E+02
1417392900.00 -3118.93 -1334.51 1923.75 3899.93	1417392900 -3.11893E+03, -1.33451E+03,  1.92376E+03,  5.10831E+02
1417392960.00 -2934.20 -1381.17 2065.62 3844.99	1417392960 -2.93420E+03, -1.38117E+03,  2.06562E+03,  4.55887E+02
1417393020.00 -2741.55 -1424.10 2201.88 3793.73	1417393020 -2.74154E+03, -1.42410E+03,  2.20188E+03,  4.04632E+02
1417393080.00 -2541.20 -1463.04 2331.92 3746.46	1417393080 -2.54119E+03, -1.46304E+03,  2.33192E+03,  3.57363E+02
1417393140.00 -2333.44 -1497.71 2455.12 3703.47	1417393140 -2.33344E+03, -1.49771E+03,  2.45513E+03,  3.14373E+02
1417393200.00 -2118.65 -1527.87 2570.89 3665.05	1417393200 -2.11864E+03, -1.52787E+03,  2.57090E+03,  2.75945E+02
1417393260.00 -1897.26 -1553.29 2678.63 3631.44	1417393260 -1.89726E+03, -1.55329E+03,  2.67864E+03,  2.42344E+02
1417393320.00 -1669.81 -1573.74 2777.78 3602.92	1417393320 -1.66981E+03, -1.57374E+03,  2.77778E+03,  2.13815E+02
1417393380.00 -1436.89 -1589.05 2867.81 3579.67	1417393380 -1.43689E+03, -1.58905E+03,  2.86781E+03,  1.90573E+02
